DateKey,Year,Month,Mdate
20100525,2010,May,25
20100906,2010,September,6
20110321,2011,March,21
20111204,2011,December,4
20120102,2012,January,2
20120725,2012,July,25
20130220,2013,February,20
20130528,2013,May,28
20130704,2013,July,4
20130819,2013,August,19
20130827,2013,August,27
20130829,2013,August,29
20140425,2014,April,25
20130926,2013,September,26
20131027,2013,October,27
20150319,2015,March,19
20160417,2016,April,17
20160908,2016,September,8
20170105,2017,January,5
20170530,2017,May,30
20171016,2017,October,16
20181218,2018,December,18
