DateKey,Year,Month,Mdate
20110831,2011,August,31
20130423,2013,April,23
20130517,2013,May,17
20130518,2013,May,18
20130621,2013,June,21
20140401,2014,April,1
20140406,2014,April,6
20141109,2014,November,9
20141113,2014,November,13
20150420,2015,April,20
20140905,2014,September,5
20150721,2015,July,21
20151118,2015,November,18
20151223,2015,December,23
20160410,2016,April,10
20160504,2016,May,4
20161202,2016,December,2
20180625,2018,June,25
20180717,2018,July,17
20190102,2019,January,2
20190715,2019,July,15
