DateKey,Year,Month,Mdate
20090527,2009,May,27
20090905,2009,September,5
20100126,2010,January,26
20101104,2010,November,4
20110302,2011,March,2
20110519,2011,May,19
20191025,2019,October,25
20111108,2011,November,8
20120121,2012,January,21
20120525,2012,May,25
20120526,2012,May,26
20120618,2012,June,18
20120715,2012,July,15
20120717,2012,July,17
20121226,2012,December,26
20131011,2013,October,11
20141106,2014,November,6
20150412,2015,April,12
20141028,2014,October,28
20151119,2015,November,19
20160507,2016,May,7
20160509,2016,May,9
20161203,2016,December,3
20170628,2017,June,28
20180323,2018,March,23
20180806,2018,August,6
20180915,2018,September,15
20181009,2018,October,9
20190601,2019,June,1
20190607,2019,June,7
