DateKey,Year,Month,Mdate
20090926,2009,September,26
20190918,2019,September,18
20100609,2010,June,9
20100814,2010,August,14
20191005,2019,October,5
20110423,2011,April,23
20110921,2011,September,21
20121101,2012,November,1
20130923,2013,September,23
20140112,2014,January,12
20140614,2014,June,14
20131206,2013,December,6
20151028,2015,October,28
20160328,2016,March,28
20160419,2016,April,19
20160829,2016,August,29
20170313,2017,March,13
20160928,2016,September,28
20161015,2016,October,15
20170104,2017,January,4
20180616,2018,June,16
20180104,2018,January,4
20180205,2018,February,5
20190212,2019,February,12
