DateKey,Year,Month,Mdate
20091209,2009,December,9
20100407,2010,April,7
20100722,2010,July,22
20100902,2010,September,2
20101123,2010,November,23
20110821,2011,August,21
20120610,2012,June,10
20121017,2012,October,17
20121111,2012,November,11
20121120,2012,November,20
20130705,2013,July,5
20140316,2014,March,16
20141130,2014,November,30
20160316,2016,March,16
20160819,2016,August,19
20170325,2017,March,25
20161207,2016,December,7
20170728,2017,July,28
20171201,2017,December,1
20180220,2018,February,20
20190525,2019,May,25
20200122,2020,January,22
