DateKey,Year,Month,Mdate
20090514,2009,May,14
20090915,2009,September,15
20091105,2009,November,5
20101220,2010,December,20
20101228,2010,December,28
20110526,2011,May,26
20120207,2012,February,7
20130330,2013,March,30
20130516,2013,May,16
20140329,2014,March,29
20140707,2014,July,7
20140912,2014,September,12
20150609,2015,June,9
20150716,2015,July,16
20150913,2015,September,13
20160605,2016,June,5
20170526,2017,May,26
20170824,2017,August,24
20180703,2018,July,3
20190721,2019,July,21
20190817,2019,August,17
