DateKey,Year,Month,Mdate
20191124,2019,November,24
20090613,2009,June,13
20090806,2009,August,6
20091006,2009,October,6
20100706,2010,July,6
20101210,2010,December,10
20110311,2011,March,11
20110524,2011,May,24
20110802,2011,August,2
20120301,2012,March,1
20120604,2012,June,4
20121002,2012,October,2
20130128,2013,January,28
20140605,2014,June,5
20131208,2013,December,8
20141105,2014,November,5
20141030,2014,October,30
20150622,2015,June,22
20151210,2015,December,10
20160130,2016,January,30
20160909,2016,September,9
20170124,2017,January,24
20170320,2017,March,20
20180522,2018,May,22
20180711,2018,July,11
20190312,2019,March,12
