DateKey,Year,Month,Mdate
20090728,2009,July,28
20100111,2010,January,11
20190915,2019,September,15
20100718,2010,July,18
20110528,2011,May,28
20111206,2011,December,6
20120719,2012,July,19
20120927,2012,September,27
20121006,2012,October,6
20121028,2012,October,28
20130111,2013,January,11
20140128,2014,January,28
20131017,2013,October,17
20140921,2014,September,21
20160502,2016,May,2
20160809,2016,August,9
20170118,2017,January,18
20170418,2017,April,18
20161105,2016,November,5
20180623,2018,June,23
