DateKey,Year,Month,Mdate
20090815,2009,August,15
20090818,2009,August,18
20091010,2009,October,10
20091219,2009,December,19
20191013,2019,October,13
20110224,2011,February,24
20110430,2011,April,30
20110906,2011,September,6
20120816,2012,August,16
20130807,2013,August,7
20130917,2013,September,17
20140123,2014,January,23
20131028,2013,October,28
20131214,2013,December,14
20141231,2014,December,31
20150211,2015,February,11
20150906,2015,September,6
20160602,2016,June,2
20170317,2017,March,17
20160917,2016,September,17
20181026,2018,October,26
