DateKey,Year,Month,Mdate
20091022,2009,October,22
20091210,2009,December,10
20100222,2010,February,22
20100331,2010,March,31
20110527,2011,May,27
20110907,2011,September,7
20111025,2011,October,25
20111102,2011,November,2
20120114,2012,January,14
20120206,2012,February,6
20120829,2012,August,29
20130313,2013,March,13
20140314,2014,March,14
20140418,2014,April,18
20140629,2014,June,29
20140714,2014,July,14
20131116,2013,November,16
20150117,2015,January,17
20150121,2015,January,21
20150410,2015,April,10
20150512,2015,May,12
20160405,2016,April,5
20170206,2017,February,6
20161228,2016,December,28
20190329,2019,March,29
20190603,2019,June,3
20191216,2019,December,16
