DateKey,Year,Month,Mdate
20090713,2009,July,13
20190910,2019,September,10
20091222,2009,December,22
20100614,2010,June,14
20110511,2011,May,11
20110529,2011,May,29
20110811,2011,August,11
20110909,2011,September,9
20111014,2011,October,14
20111026,2011,October,26
20120304,2012,March,4
20120810,2012,August,10
20121031,2012,October,31
20131219,2013,December,19
20150805,2015,August,5
20170510,2017,May,10
20171021,2017,October,21
20171026,2017,October,26
20171216,2017,December,16
20171227,2017,December,27
20180513,2018,May,13
20180924,2018,September,24
20190731,2019,July,31
20200123,2020,January,23
