DateKey,Year,Month,Mdate
20190930,2019,September,30
20100115,2010,January,15
20100405,2010,April,5
20100513,2010,May,13
20101005,2010,October,5
20101128,2010,November,28
20110917,2011,September,17
20120516,2012,May,16
20130510,2013,May,10
20131229,2013,December,29
20150427,2015,April,27
20161010,2016,October,10
20171018,2017,October,18
20171118,2017,November,18
20180305,2018,March,5
20181016,2018,October,16
20190113,2019,January,13
20190221,2019,February,21
20190407,2019,April,7
20190615,2019,June,15
20190924,2019,September,24
