DateKey,Year,Month,Mdate
20090501,2009,May,1
20090823,2009,August,23
20090912,2009,September,12
20190905,2019,September,5
20101101,2010,November,1
20110115,2011,January,15
20111009,2011,October,9
20120219,2012,February,19
20130224,2013,February,24
20130901,2013,September,1
20130924,2013,September,24
20140103,2014,January,3
20140601,2014,June,1
20140730,2014,July,30
20131126,2013,November,26
20141107,2014,November,7
20141230,2014,December,30
20150315,2015,March,15
20151204,2015,December,4
20160513,2016,May,13
20160803,2016,August,3
20160903,2016,September,3
20170222,2017,February,22
20180204,2018,February,4
20181014,2018,October,14
20190415,2019,April,15
20190617,2019,June,17
