DateKey,Year,Month,Mdate
20100404,2010,April,4
20101031,2010,October,31
20111008,2011,October,8
20111024,2011,October,24
20121213,2012,December,13
20130407,2013,April,7
20130421,2013,April,21
20120328,2012,March,28
20140109,2014,January,9
20140319,2014,March,19
20150714,2015,July,14
20151010,2015,October,10
20160101,2016,January,1
20160611,2016,June,11
20161231,2016,December,31
20170715,2017,July,15
20170906,2017,September,6
20171011,2017,October,11
20181024,2018,October,24
20181123,2018,November,23
20190216,2019,February,16
20200210,2020,February,10
