DateKey,Year,Month,Mdate
20091020,2009,October,20
20100227,2010,February,27
20120414,2012,April,14
20121212,2012,December,12
20130316,2013,March,16
20130808,2013,August,8
20120409,2012,April,9
20140320,2014,March,20
20140528,2014,May,28
20150123,2015,January,23
20150331,2015,March,31
20140823,2014,August,23
20151121,2015,November,21
20151220,2015,December,20
20160423,2016,April,23
20160820,2016,August,20
20160924,2016,September,24
20161106,2016,November,6
20161128,2016,November,28
20180823,2018,August,23
