DateKey,Year,Month,Mdate
20091117,2009,November,17
20100624,2010,June,24
20100709,2010,July,9
20100712,2010,July,12
20100812,2010,August,12
20101022,2010,October,22
20101230,2010,December,30
20110308,2011,March,8
20110728,2011,July,28
20110810,2011,August,10
20111122,2011,November,22
20130305,2013,March,5
20130722,2013,July,22
20131109,2013,November,9
20150514,2015,May,14
20150810,2015,August,10
20151029,2015,October,29
20170201,2017,February,1
20170219,2017,February,19
20171028,2017,October,28
20190313,2019,March,13
