DateKey,Year,Month,Mdate
20191127,2019,November,27
20090614,2009,June,14
20090928,2009,September,28
20100307,2010,March,7
20100313,2010,March,13
20130607,2013,June,7
20140227,2014,February,27
20140506,2014,May,6
20140511,2014,May,11
20150116,2015,January,16
20150414,2015,April,14
20151227,2015,December,27
20150526,2015,May,26
20160907,2016,September,7
20170303,2017,March,3
20170305,2017,March,5
20161212,2016,December,12
20170703,2017,July,3
20170707,2017,July,7
20180610,2018,June,10
20180118,2018,January,18
20181212,2018,December,12
20181222,2018,December,22
20180723,2018,July,23
20190411,2019,April,11
20200128,2020,January,28
20200227,2020,February,27
