DateKey,Year,Month,Mdate
20191112,2019,November,12
20091229,2009,December,29
20100118,2010,January,18
20100507,2010,May,7
20120120,2012,January,20
20120128,2012,January,28
20120607,2012,June,7
20120724,2012,July,24
20120923,2012,September,23
20121125,2012,November,25
20140716,2014,July,16
20141118,2014,November,18
20150115,2015,January,15
20150912,2015,September,12
20151122,2015,November,22
20151230,2015,December,30
20160406,2016,April,6
20161124,2016,November,24
20170908,2017,September,8
20171117,2017,November,17
