DateKey,Year,Month,Mdate
20100220,2010,February,20
20100912,2010,September,12
20111118,2011,November,18
20120303,2012,March,3
20130702,2013,July,2
20140126,2014,January,26
20131119,2013,November,19
20141110,2014,November,10
20141221,2014,December,21
20150120,2015,January,20
20150518,2015,May,18
20151211,2015,December,11
20150602,2015,June,2
20160215,2016,February,15
20170625,2017,June,25
20180119,2018,January,19
20180128,2018,January,28
20180905,2018,September,5
20190709,2019,July,9
20191206,2019,December,6
20191208,2019,December,8
