DateKey,Year,Month,Mdate
20090822,2009,August,22
20100425,2010,April,25
20100430,2010,April,30
20101115,2010,November,15
20101118,2010,November,18
20110406,2011,April,6
20140524,2014,May,24
20140615,2014,June,15
20140728,2014,July,28
20150325,2015,March,25
20150425,2015,April,25
20150608,2015,June,8
20160609,2016,June,9
20170425,2017,April,25
20161020,2016,October,20
20170624,2017,June,24
20170807,2017,August,7
20180525,2018,May,25
20171231,2017,December,31
20180902,2018,September,2
20190219,2019,February,19
20190414,2019,April,14
20190416,2019,April,16
20200119,2020,January,19
