DateKey,Year,Month,Mdate
20090620,2009,June,20
20091012,2009,October,12
20091025,2009,October,25
20091130,2009,November,30
20100314,2010,March,14
20101106,2010,November,6
20110407,2011,April,7
20120227,2012,February,27
20140102,2014,January,2
20131211,2013,December,11
20150627,2015,June,27
20160426,2016,April,26
20160623,2016,June,23
20170210,2017,February,10
20170420,2017,April,20
20161027,2016,October,27
20170611,2017,June,11
20180614,2018,June,14
20180721,2018,July,21
20180422,2018,April,22
20180916,2018,September,16
20181129,2018,November,29
20181213,2018,December,13
20190209,2019,February,9
20200105,2020,January,5
