DateKey,Year,Month,Mdate
20100422,2010,April,22
20100516,2010,May,16
20100920,2010,September,20
20110515,2011,May,15
20110812,2011,August,12
20110925,2011,September,25
20120113,2012,January,13
20120528,2012,May,28
20120910,2012,September,10
20140602,2014,June,2
20150630,2015,June,30
20151018,2015,October,18
20151206,2015,December,6
20170116,2017,January,16
20170312,2017,March,12
20170409,2017,April,9
20161115,2016,November,15
20171004,2017,October,4
20190406,2019,April,6
20191212,2019,December,12
20200114,2020,January,14
