DateKey,Year,Month,Mdate
20090919,2009,September,19
20100328,2010,March,28
20100619,2010,June,19
20191027,2019,October,27
20120111,2012,January,11
20100817,2010,August,17
20121112,2012,November,12
20121113,2012,November,13
20130714,2013,July,14
20130913,2013,September,13
20130929,2013,September,29
20150102,2015,January,2
20160617,2016,June,17
20170223,2017,February,23
20170319,2017,March,19
20170618,2017,June,18
20170829,2017,August,29
20170924,2017,September,24
20180722,2018,July,22
20180622,2018,June,22
20180913,2018,September,13
20190325,2019,March,25
20190403,2019,April,3
20190522,2019,May,22
