DateKey,Year,Month,Mdate
20090622,2009,June,22
20091108,2009,November,8
20100315,2010,March,15
20110114,2011,January,14
20110320,2011,March,20
20111029,2011,October,29
20111128,2011,November,28
20111209,2011,December,9
20120508,2012,May,8
20120614,2012,June,14
20120820,2012,August,20
20130321,2013,March,21
20140703,2014,July,3
20150205,2015,February,5
20140816,2014,August,16
20150704,2015,July,4
20150711,2015,July,11
20160218,2016,February,18
20160603,2016,June,3
20161111,2016,November,11
20161129,2016,November,29
20170725,2017,July,25
20171030,2017,October,30
20171204,2017,December,4
20180222,2018,February,22
20181207,2018,December,7
20181229,2018,December,29
20200212,2020,February,12
