DateKey,Year,Month,Mdate
20191117,2019,November,17
20091123,2009,November,23
20091223,2009,December,23
20110216,2011,February,16
20110303,2011,March,3
20110315,2011,March,15
20111226,2011,December,26
20120209,2012,February,9
20120226,2012,February,26
20100819,2010,August,19
20120507,2012,May,7
20120509,2012,May,9
20120914,2012,September,14
20130606,2013,June,6
20140404,2014,April,4
20140523,2014,May,23
20150111,2015,January,11
20150926,2015,September,26
20170212,2017,February,12
20170227,2017,February,27
20170912,2017,September,12
20190109,2019,January,9
20190117,2019,January,17
20190805,2019,August,5
