DateKey,Year,Month,Mdate
20090913,2009,September,13
20100310,2010,March,10
20110228,2011,February,28
20110415,2011,April,15
20111011,2011,October,11
20111103,2011,November,3
20121227,2012,December,27
20130302,2013,March,2
20130613,2013,June,13
20130615,2013,June,15
20130825,2013,August,25
20140424,2014,April,24
20140718,2014,July,18
20131127,2013,November,27
20131128,2013,November,28
20150330,2015,March,30
20160325,2016,March,25
20170307,2017,March,7
20170529,2017,May,29
20170701,2017,July,1
20180509,2018,May,9
20180401,2018,April,1
20190427,2019,April,27
