DateKey,Year,Month,Mdate
20110112,2011,January,12
20110126,2011,January,26
20120313,2012,March,13
20120413,2012,April,13
20130112,2013,January,12
20130630,2013,June,30
20140509,2014,May,9
20140721,2014,July,21
20131217,2013,December,17
20141117,2014,November,17
20141204,2014,December,4
20141222,2014,December,22
20141225,2014,December,25
20150308,2015,March,8
20141011,2014,October,11
20160730,2016,July,30
20170126,2017,January,26
20161110,2016,November,10
20170810,2017,August,10
20180521,2018,May,21
20180829,2018,August,29
20200111,2020,January,11
