DateKey,Year,Month,Mdate
20090521,2009,May,21
20090719,2009,July,19
20091227,2009,December,27
20100406,2010,April,6
20101016,2010,October,16
20101112,2010,November,12
20101120,2010,November,20
20110225,2011,February,25
20110912,2011,September,12
20120801,2012,August,1
20120827,2012,August,27
20120912,2012,September,12
20121012,2012,October,12
20130127,2013,January,27
20130225,2013,February,25
20130508,2013,May,8
20141209,2014,December,9
20150604,2015,June,4
20150819,2015,August,19
20160213,2016,February,13
20160701,2016,July,1
20170128,2017,January,28
20170925,2017,September,25
20180515,2018,May,15
20180601,2018,June,1
20180912,2018,September,12
20181112,2018,November,12
20190103,2019,January,3
20190121,2019,January,21
20190330,2019,March,30
20190813,2019,August,13
20200118,2020,January,18
