DateKey,Year,Month,Mdate
20191104,2019,November,4
20090917,2009,September,17
20100629,2010,June,29
20110103,2011,January,3
20110113,2011,January,13
20110226,2011,February,26
20120619,2012,June,19
20120326,2012,March,26
20120402,2012,April,2
20131123,2013,November,23
20150108,2015,January,8
20140821,2014,August,21
20141014,2014,October,14
20150814,2015,August,14
20160104,2016,January,4
20160209,2016,February,9
20160709,2016,July,9
20161007,2016,October,7
20161118,2016,November,18
20161216,2016,December,16
20170101,2017,January,1
20170619,2017,June,19
20170716,2017,July,16
