DateKey,Year,Month,Mdate
20090906,2009,September,6
20091120,2009,November,20
20091228,2009,December,28
20100104,2010,January,4
20101203,2010,December,3
20111007,2011,October,7
20130726,2013,July,26
20120406,2012,April,6
20140211,2014,February,11
20150307,2015,March,7
20140918,2014,September,18
20160122,2016,January,22
20160331,2016,March,31
20160412,2016,April,12
20160528,2016,May,28
20161005,2016,October,5
20170622,2017,June,22
20171012,2017,October,12
20180317,2018,March,17
20190723,2019,July,23
