DateKey,Year,Month,Mdate
20090717,2009,July,17
20090723,2009,July,23
20090921,2009,September,21
20100321,2010,March,21
20100502,2010,May,2
20100515,2010,May,15
20101017,2010,October,17
20110120,2011,January,20
20110223,2011,February,23
20110503,2011,May,3
20120506,2012,May,6
20120826,2012,August,26
20121016,2012,October,16
20130323,2013,March,23
20130402,2013,April,2
20130404,2013,April,4
20140709,2014,July,9
20140711,2014,July,11
20131015,2013,October,15
20131030,2013,October,30
20150304,2015,March,4
20150625,2015,June,25
20151207,2015,December,7
20160525,2016,May,25
20161211,2016,December,11
20170519,2017,May,19
20181008,2018,October,8
20181120,2018,November,20
