DateKey,Year,Month,Mdate
20090630,2009,June,30
20090827,2009,August,27
20090909,2009,September,9
20100109,2010,January,9
20110531,2011,May,31
20111004,2011,October,4
20111005,2011,October,5
20111107,2011,November,7
20120222,2012,February,22
20131005,2013,October,5
20140826,2014,August,26
20151009,2015,October,9
20160613,2016,June,13
20161011,2016,October,11
20161217,2016,December,17
20170603,2017,June,3
20170831,2017,August,31
20171025,2017,October,25
20171128,2017,November,28
20171217,2017,December,17
20180415,2018,April,15
20180910,2018,September,10
20181019,2018,October,19
20200214,2020,February,14
