DateKey,Year,Month,Mdate
20090610,2009,June,10
20100202,2010,February,2
20100411,2010,April,11
20100802,2010,August,2
20100808,2010,August,8
20191009,2019,October,9
20110218,2011,February,18
20110913,2011,September,13
20121102,2012,November,2
20130816,2013,August,16
20130916,2013,September,16
20140608,2014,June,8
20150804,2015,August,4
20150818,2015,August,18
20160221,2016,February,21
20160618,2016,June,18
20180421,2018,April,21
20180821,2018,August,21
20180824,2018,August,24
20190716,2019,July,16
