DateKey,Year,Month,Mdate
20090515,2009,May,15
20091011,2009,October,11
20190902,2019,September,2
20100131,2010,January,31
20100607,2010,June,7
20101018,2010,October,18
20101124,2010,November,24
20110629,2011,June,29
20120108,2012,January,8
20120314,2012,March,14
20120530,2012,May,30
20120917,2012,September,17
20131026,2013,October,26
20141121,2014,November,21
20151209,2015,December,9
20160327,2016,March,27
20170614,2017,June,14
20171001,2017,October,1
20171215,2017,December,15
20180811,2018,August,11
20180826,2018,August,26
20190320,2019,March,20
20190711,2019,July,11
