DateKey,Year,Month,Mdate
20100826,2010,August,26
20100905,2010,September,5
20101102,2010,November,2
20110122,2011,January,22
20110221,2011,February,21
20110721,2011,July,21
20140416,2014,April,16
20141218,2014,December,18
20150322,2015,March,22
20150502,2015,May,2
20140813,2014,August,13
20141025,2014,October,25
20160205,2016,February,5
20160923,2016,September,23
20161108,2016,November,8
20161112,2016,November,12
20161218,2016,December,18
20170108,2017,January,8
20170111,2017,January,11
20170601,2017,June,1
20170818,2017,August,18
20170902,2017,September,2
20180218,2018,February,18
20180315,2018,March,15
20180911,2018,September,11
20190112,2019,January,12
