DateKey,Year,Month,Mdate
20191103,2019,November,3
20110619,2011,June,19
20111125,2011,November,25
20120211,2012,February,11
20121116,2012,November,16
20140402,2014,April,2
20140624,2014,June,24
20140705,2014,July,5
20140802,2014,August,2
20131018,2013,October,18
20141122,2014,November,22
20140809,2014,August,9
20140830,2014,August,30
20151022,2015,October,22
20151105,2015,November,5
20151109,2015,November,9
20160428,2016,April,28
20190621,2019,June,21
20191210,2019,December,10
20190804,2019,August,4
