DateKey,Year,Month,Mdate
20090516,2009,May,16
20090701,2009,July,1
20100316,2010,March,16
20110701,2011,July,1
20110830,2011,August,30
20111001,2011,October,1
,2012,October,7
20121229,2012,December,29
20130711,2013,July,11
20130902,2013,September,2
20140120,2014,January,20
20141211,2014,December,11
20150626,2015,June,26
20151005,2015,October,5
20151202,2015,December,2
20160308,2016,March,8
20160310,2016,March,10
20160522,2016,May,22
20170316,2017,March,16
20170327,2017,March,27
20170416,2017,April,16
