DateKey,Year,Month,Mdate
20100110,2010,January,10
20100308,2010,March,8
20190919,2019,September,19
20111015,2011,October,15
20111031,2011,October,31
20120224,2012,February,24
20120617,2012,June,17
20120804,2012,August,4
20120807,2012,August,7
20121109,2012,November,9
20130109,2013,January,9
20130619,2013,June,19
20130903,2013,September,3
20130925,2013,September,25
20120322,2012,March,22
20140609,2014,June,9
20131203,2013,December,3
20141129,2014,November,29
20150901,2015,September,1
20160401,2016,April,1
20170122,2017,January,22
20170923,2017,September,23
20180510,2018,May,10
20180621,2018,June,21
20180201,2018,February,1
20180228,2018,February,28
