DateKey,Year,Month,Mdate
20191123,2019,November,23
20091109,2009,November,9
20091122,2009,November,22
20091201,2009,December,1
20100420,2010,April,20
20101008,2010,October,8
20110414,2011,April,14
20111012,2011,October,12
20120106,2012,January,6
20130520,2013,May,20
20130629,2013,June,29
20140315,2014,March,15
20141126,2014,November,26
20180626,2018,June,26
20180322,2018,March,22
20180326,2018,March,26
20181118,2018,November,18
20181122,2018,November,22
20190207,2019,February,7
20200223,2020,February,23
