DateKey,Year,Month,Mdate
20091208,2009,December,8
20100201,2010,February,1
20101229,2010,December,29
20110211,2011,February,11
20110719,2011,July,19
20120608,2012,June,8
20120809,2012,August,9
20120830,2012,August,30
20130329,2013,March,29
20140302,2014,March,2
20140419,2014,April,19
20140726,2014,July,26
20150924,2015,September,24
20160608,2016,June,8
20160610,2016,June,10
20170120,2017,January,20
20170919,2017,September,19
20171009,2017,October,9
20180720,2018,July,20
20180108,2018,January,8
20180221,2018,February,21
20180908,2018,September,8
20190509,2019,May,9
20190702,2019,July,2
20191207,2019,December,7
20200102,2020,January,2
