DateKey,Year,Month,Mdate
20090805,2009,August,5
20100703,2010,July,3
20100830,2010,August,30
20191015,2019,October,15
20110322,2011,March,22
20110405,2011,April,5
20110723,2011,July,23
20110809,2011,August,9
20120729,2012,July,29
20121202,2012,December,2
20130214,2013,February,14
20130319,2013,March,19
20130514,2013,May,14
20130525,2013,May,25
20140204,2014,February,4
20140702,2014,July,2
20150506,2015,May,6
20150724,2015,July,24
20160604,2016,June,4
20170710,2017,July,10
20171230,2017,December,30
20180418,2018,April,18
