DateKey,Year,Month,Mdate
20110411,2011,April,11
20110412,2011,April,12
20110827,2011,August,27
20110924,2011,September,24
20100815,2010,August,15
20121029,2012,October,29
20121126,2012,November,26
20130204,2013,February,4
20130728,2013,July,28
20130922,2013,September,22
20141213,2014,December,13
20141220,2014,December,20
20150612,2015,June,12
20170117,2017,January,17
20170301,2017,March,1
20160925,2016,September,25
20170929,2017,September,29
20180117,2018,January,17
20180122,2018,January,22
20180402,2018,April,2
20181124,2018,November,24
20180724,2018,July,24
20190512,2019,May,12
