DateKey,Year,Month,Mdate
20090810,2009,August,10
20091214,2009,December,14
20191004,2019,October,4
20100914,2010,September,14
20110801,2011,August,1
20110915,2011,September,15
20120512,2012,May,12
20120720,2012,July,20
20130203,2013,February,3
20130608,2013,June,8
20130828,2013,August,28
20150210,2015,February,10
20150830,2015,August,30
20160425,2016,April,25
20160518,2016,May,18
20170421,2017,April,21
20161024,2016,October,24
20171006,2017,October,6
20180428,2018,April,28
20180805,2018,August,5
20190208,2019,February,8
20190429,2019,April,29
20190629,2019,June,29
