DateKey,Year,Month,Mdate
20100730,2010,July,30
20100930,2010,September,30
20110425,2011,April,25
20110904,2011,September,4
20111104,2011,November,4
20120201,2012,February,1
20120216,2012,February,16
20120408,2012,April,8
20140701,2014,July,1
20141103,2014,November,3
20141205,2014,December,5
20150214,2015,February,14
20150723,2015,July,23
20160728,2016,July,28
20160807,2016,August,7
20161117,2016,November,17
20170802,2017,August,2
20180606,2018,June,6
20180704,2018,July,4
20180111,2018,January,11
20180327,2018,March,27
20190725,2019,July,25
20200112,2020,January,12
20200125,2020,January,25
