DateKey,Year,Month,Mdate
20190927,2019,September,27
20101020,2010,October,20
20110419,2011,April,19
20110712,2011,July,12
20110805,2011,August,5
20120520,2012,May,20
20120817,2012,August,17
20130113,2013,January,13
20130815,2013,August,15
20140216,2014,February,16
20131218,2013,December,18
20141123,2014,November,23
20150303,2015,March,3
20150327,2015,March,27
20140818,2014,August,18
20161012,2016,October,12
20170730,2017,July,30
20171219,2017,December,19
20180523,2018,May,23
20181003,2018,October,3
20190107,2019,January,7
20190227,2019,February,27
20190306,2019,March,6
20190526,2019,May,26
20191224,2019,December,24
20190926,2019,September,26
20200116,2020,January,16
