DateKey,Year,Month,Mdate
20100616,2010,June,16
20101003,2010,October,3
20121117,2012,November,17
20130709,2013,July,9
20140127,2014,January,27
20150505,2015,May,5
20140927,2014,September,27
20141016,2014,October,16
20150610,2015,June,10
20151106,2015,November,6
20160521,2016,May,21
20160818,2016,August,18
20170211,2017,February,11
20170215,2017,February,15
20170221,2017,February,21
20170402,2017,April,2
20161206,2016,December,6
20170626,2017,June,26
20180314,2018,March,14
20180328,2018,March,28
20180407,2018,April,7
20190430,2019,April,30
20190520,2019,May,20
20200127,2020,January,27
