DateKey,Year,Month,Mdate
20191129,2019,November,29
20090601,2009,June,1
20100207,2010,February,7
20110616,2011,June,16
20110808,2011,August,8
20120220,2012,February,20
20120315,2012,March,15
20130124,2013,January,24
20130521,2013,May,21
20130809,2013,August,9
20140318,2014,March,18
20150103,2015,January,3
20160322,2016,March,22
20160527,2016,May,27
20170419,2017,April,19
20170531,2017,May,31
20171129,2017,November,29
20180511,2018,May,11
20180714,2018,July,14
20180219,2018,February,19
20190324,2019,March,24
