DateKey,Year,Month,Mdate
20091203,2009,December,3
20100306,2010,March,6
20100517,2010,May,17
20100801,2010,August,1
20101015,2010,October,15
20101019,2010,October,19
20121007,2012,October,7
20121106,2012,November,6
20140118,2014,January,18
20140131,2014,January,31
20131225,2013,December,25
20141125,2014,November,25
20160118,2016,January,18
20160306,2016,March,6
20160326,2016,March,26
20160619,2016,June,19
20180607,2018,June,7
20180409,2018,April,9
20180919,2018,September,19
20181127,2018,November,27
20181202,2018,December,2
