DateKey,Year,Month,Mdate
20091204,2009,December,4
20100608,2010,June,8
20110131,2011,January,31
20110402,2011,April,2
20110421,2011,April,21
20120308,2012,March,8
20130309,2013,March,9
20130326,2013,March,26
20130618,2013,June,18
20130821,2013,August,21
20130921,2013,September,21
20131001,2013,October,1
20150301,2015,March,1
20150310,2015,March,10
20150326,2015,March,26
20140814,2014,August,14
20170322,2017,March,22
20170423,2017,April,23
20180804,2018,August,4
20181211,2018,December,11
20190518,2019,May,18
20191218,2019,December,18
20190729,2019,July,29
20190812,2019,August,12
