DateKey,Year,Month,Mdate
20100223,2010,February,23
20110207,2011,February,7
20111229,2011,December,29
20120911,2012,September,11
20121021,2012,October,21
20130205,2013,February,5
20130919,2013,September,19
20131216,2013,December,16
20150611,2015,June,11
20150829,2015,August,29
20151103,2015,November,3
20151219,2015,December,19
20160408,2016,April,8
20160519,2016,May,19
20160724,2016,July,24
20170130,2017,January,30
20160929,2016,September,29
20181023,2018,October,23
20191222,2019,December,22
20190809,2019,August,9
