DateKey,Year,Month,Mdate
20091030,2009,October,30
20100217,2010,February,17
20190923,2019,September,23
20100811,2010,August,11
20101206,2010,December,6
20110205,2011,February,5
20110413,2011,April,13
20120420,2012,April,20
20120606,2012,June,6
20140414,2014,April,14
20140717,2014,July,17
20150324,2015,March,24
20151229,2015,December,29
20170405,2017,April,5
20170820,2017,August,20
20180102,2018,January,2
20180812,2018,August,12
20181126,2018,November,26
20181201,2018,December,1
20190225,2019,February,25
