DateKey,Year,Month,Mdate
20091102,2009,November,2
20091205,2009,December,5
20100130,2010,January,30
20190916,2019,September,16
20100627,2010,June,27
20100717,2010,July,17
20110220,2011,February,20
20110401,2011,April,1
20110601,2011,June,1
20110806,2011,August,6
20100816,2010,August,16
20120527,2012,May,27
20130317,2013,March,17
20130328,2013,March,28
20140423,2014,April,23
20131105,2013,November,5
20131106,2013,November,6
20140908,2014,September,8
20150621,2015,June,21
20161215,2016,December,15
20170704,2017,July,4
20190424,2019,April,24
20190806,2019,August,6
20190823,2019,August,23
20200209,2020,February,9
