DateKey,Year,Month,Mdate
20100219,2010,February,19
20101127,2010,November,27
20110605,2011,June,5
20110902,2011,September,2
20111019,2011,October,19
20111210,2011,December,10
20120210,2012,February,10
20120426,2012,April,26
20120621,2012,June,21
20140616,2014,June,16
20131107,2013,November,7
20141115,2014,November,15
20150421,2015,April,21
20160814,2016,August,14
20160827,2016,August,27
20170314,2017,March,14
20161116,2016,November,16
20170827,2017,August,27
20171014,2017,October,14
20190428,2019,April,28
