DateKey,Year,Month,Mdate
20091114,2009,November,14
20190917,2019,September,17
20100327,2010,March,27
20100610,2010,June,10
20110331,2011,March,31
20130211,2013,February,11
20130304,2013,March,4
20130413,2013,April,13
20130830,2013,August,30
20130908,2013,September,8
20140106,2014,January,6
20140529,2014,May,29
20131215,2013,December,15
20141201,2014,December,1
20141214,2014,December,14
20151002,2015,October,2
20160315,2016,March,15
20160511,2016,May,11
20160811,2016,August,11
20181027,2018,October,27
20190531,2019,May,31
