DateKey,Year,Month,Mdate
20100928,2010,September,28
20110504,2011,May,4
20110506,2011,May,6
20110724,2011,July,24
20110803,2011,August,3
20120115,2012,January,15
20120306,2012,March,6
20120321,2012,March,21
20120419,2012,April,19
20130108,2013,January,8
20130301,2013,March,1
20130427,2013,April,27
20140613,2014,June,13
20140620,2014,June,20
20130930,2013,September,30
20151015,2015,October,15
20151221,2015,December,21
20151231,2015,December,31
20170724,2017,July,24
20171105,2017,November,5
20181031,2018,October,31
20190524,2019,May,24
