DateKey,Year,Month,Mdate
20100326,2010,March,26
20190921,2019,September,21
20100613,2010,June,13
20100615,2010,June,15
20121218,2012,December,18
20130529,2013,May,29
20130811,2013,August,11
20140722,2014,July,22
20150516,2015,May,16
20140820,2014,August,20
20141024,2014,October,24
20150914,2015,September,14
20160124,2016,January,24
20160421,2016,April,21
20160516,2016,May,16
20160806,2016,August,6
20170123,2017,January,23
20161125,2016,November,25
20171229,2017,December,29
20191225,2019,December,25
20190925,2019,September,25
20200204,2020,February,4
