DateKey,Year,Month,Mdate
20091103,2009,November,3
20100414,2010,April,14
20110202,2011,February,2
20110429,2011,April,29
20111211,2011,December,11
20120704,2012,July,4
20120707,2012,July,7
20120808,2012,August,8
20121214,2012,December,14
20130527,2013,May,27
20130814,2013,August,14
20140116,2014,January,16
20140202,2014,February,2
20140221,2014,February,21
20150105,2015,January,5
20150825,2015,August,25
20150828,2015,August,28
20150907,2015,September,7
20160110,2016,January,10
20170819,2017,August,19
20180526,2018,May,26
20181021,2018,October,21
20190331,2019,March,31
20190423,2019,April,23
