DateKey,Year,Month,Mdate
20090803,2009,August,3
20100418,2010,April,18
20100531,2010,May,31
20110101,2011,January,1
20110316,2011,March,16
20110621,2011,June,21
20110914,2011,September,14
20120722,2012,July,22
20121118,2012,November,18
20130121,2013,January,21
20130209,2013,February,9
20130515,2013,May,15
20140508,2014,May,8
20131121,2013,November,21
20141210,2014,December,10
20150923,2015,September,23
20151225,2015,December,25
20160127,2016,January,27
20170517,2017,May,17
20170424,2017,April,24
20170721,2017,July,21
20180429,2018,April,29
20180112,2018,January,12
20190402,2019,April,2
20200107,2020,January,7
