DateKey,Year,Month,Mdate
20090731,2009,July,31
20100129,2010,January,29
20100713,2010,July,13
20110517,2011,May,17
20111020,2011,October,20
20120613,2012,June,13
20130513,2013,May,13
20140212,2014,February,12
20140325,2014,March,25
20140330,2014,March,30
20131118,2013,November,18
20150620,2015,June,20
20160831,2016,August,31
20170503,2017,May,3
20161030,2016,October,30
20161219,2016,December,19
20170811,2017,August,11
20180507,2018,May,7
20180124,2018,January,24
20180213,2018,February,13
20190302,2019,March,2
