DateKey,Year,Month,Mdate
20090902,2009,September,2
20100105,2010,January,5
20100324,2010,March,24
20100729,2010,July,29
20110213,2011,February,13
20110820,2011,August,20
20120913,2012,September,13
20121219,2012,December,19
20130131,2013,January,31
20140326,2014,March,26
20140606,2014,June,6
20150510,2015,May,10
20140812,2014,August,12
20150728,2015,July,28
20150904,2015,September,4
20151218,2015,December,18
20170228,2017,February,28
20170413,2017,April,13
20161209,2016,December,9
20180531,2018,May,31
20191211,2019,December,11
