DateKey,Year,Month,Mdate
20191109,2019,November,9
20090615,2009,June,15
20190901,2019,September,1
20091113,2009,November,13
20091218,2009,December,18
20100114,2010,January,14
20100908,2010,September,8
20120309,2012,March,9
20120906,2012,September,6
20120920,2012,September,20
20121201,2012,December,1
20130810,2013,August,10
20131104,2013,November,4
20150114,2015,January,14
20151019,2015,October,19
20170521,2017,May,21
20170527,2017,May,27
20180706,2018,July,6
20180202,2018,February,2
20180425,2018,April,25
20200130,2020,January,30
