DateKey,Year,Month,Mdate
20090817,2009,August,17
20100805,2010,August,5
20100913,2010,September,13
20100926,2010,September,26
20110319,2011,March,19
20110715,2011,July,15
,2011,October,2
20120307,2012,March,7
20120615,2012,June,15
20130201,2013,February,1
20130401,2013,April,1
20130428,2013,April,28
20130928,2013,September,28
20131025,2013,October,25
20140916,2014,September,16
20150708,2015,July,8
20150730,2015,July,30
20151006,2015,October,6
20160103,2016,January,3
20160129,2016,January,29
20160212,2016,February,12
20160913,2016,September,13
20161222,2016,December,22
20170812,2017,August,12
20171029,2017,October,29
20180427,2018,April,27
20180508,2018,May,8
20180627,2018,June,27
20180121,2018,January,21
20190418,2019,April,18
20190713,2019,July,13
20200225,2020,February,25
