DateKey,Year,Month,Mdate
20191122,2019,November,22
20091126,2009,November,26
20091207,2009,December,7
20100927,2010,September,27
20110323,2011,March,23
20110324,2011,March,24
20110730,2011,July,30
20120118,2012,January,18
20120126,2012,January,26
20120217,2012,February,17
20120708,2012,July,8
20120802,2012,August,2
20130417,2013,April,17
20130802,2013,August,2
20130910,2013,September,10
20150320,2015,March,20
20150729,2015,July,29
20160106,2016,January,6
20160227,2016,February,27
20180410,2018,April,10
20180801,2018,August,1
20190307,2019,March,7
