DateKey,Year,Month,Mdate
20090603,2009,June,3
20091007,2009,October,7
20101006,2010,October,6
20110814,2011,August,14
20120514,2012,May,14
20120627,2012,June,27
20121221,2012,December,21
20140625,2014,June,25
20141114,2014,November,14
20141216,2014,December,16
20150311,2015,March,11
20150401,2015,April,1
20150428,2015,April,28
20160815,2016,August,15
20160905,2016,September,5
20170904,2017,September,4
20171210,2017,December,10
20180330,2018,March,30
20190420,2019,April,20
20200129,2020,January,29
